City;Region
Melbourne;Victoria
Sydney;New South Wales
Brisbane;Queensland
Perth;Western Australia
Adelaide;South Australia
Gold Coast;Queensland
Tweed Heads;New South Wales
Newcastle–Maitland;New South Wales
Canberra;New South Wales
Sunshine Coast;Queensland
Central Coast;New South Wales
Wollongong;New South Wales
Geelong;Victoria
Hobart;Tasmania
Townsville;Queensland
Cairns;Queensland
Toowoomba;Queensland
Darwin;Northern Territory
Ballarat;Victoria
Bendigo;Victoria
Albury;New South Wales
Wodonga;Victoria
Launceston;Tasmania
Mackay;Queensland
Rockhampton;Queensland
Melton;Victoria
Bunbury;Western Australia
Coffs Harbour;New South Wales
Bundaberg;Queensland
Wagga Wagga;New South Wales
Hervey Bay;Queensland
Shepparton–Mooroopna;Victoria
Mildura;Victoria
Wentworth;New South Wales
Port Macquarie;New South Wales
Gladstone–Tannum Sands;Queensland
Tamworth;New South Wales
Traralgon–Morwell;Victoria
Bowral–Mittagong;New South Wales
Orange;New South Wales
Warragul–Drouin;Victoria
Busselton;Western Australia
Dubbo;New South Wales
Nowra–Bomaderry;New South Wales
Bathurst;New South Wales
Geraldton;Western Australia
Warrnambool;Victoria
Albany;Western Australia
Devonport;Tasmania
Mount Gambier;South Australia
Kalgoorlie–Boulder;Western Australia
Lismore;New South Wales
Nelson Bay;New South Wales
Burnie–Wynyard;Tasmania
Maryborough;Queensland
Victor Harbor–Goolwa;South Australia
Ballina;New South Wales
Alice Springs;Northern Territory
Taree;New South Wales
Morisset–Cooranbong;New South Wales
Armidale;New South Wales
Goulburn;New South Wales
Bacchus Marsh;Victoria
Gisborne–Macedon;Victoria
Gympie;Queensland
Echuca;Victoria
Moama;New South Wales
Whyalla;South Australia
Forster–Tuncurry;New South Wales
Griffith;New South Wales
St Georges Basin–Sanctuary Point;New South Wales
Yeppoon;Queensland
Wangaratta;Victoria
Murray Bridge;South Australia
Grafton;New South Wales
Camden Haven;New South Wales
Mount Isa;Queensland
Karratha;Western Australia
Broken Hill;New South Wales
Ulladulla;New South Wales
Moe–Newborough;Victoria
Batemans Bay;New South Wales
Horsham;Victoria
Port Lincoln;South Australia
Singleton;New South Wales
Bairnsdale;Victoria
Kempsey;New South Wales
Sale;Victoria
Yanchep;Western Australia
Warwick;Queensland
Port Hedland;Western Australia
Ulverstone;Tasmania
Emerald;Queensland
Broome;Western Australia
Port Pirie;South Australia
Port Augusta;South Australia
Lithgow;New South Wales
Mudgee;New South Wales
Colac;Victoria
Muswellbrook;New South Wales
Esperance;Western Australia
Parkes;New South Wales
Swan Hill;Victoria
Portland;Victoria
Kingaroy;Queensland
Nhil;Victoria
Watsonia;Victoria
Cobar;New South Wales
SydneyAirport;New South Wales
Williamtown;New South Wales
Moree;New South Wales
BadgerysCreek;New South Wales
Tuggeranong;New South Wales
MelbourneAirport;Victoria
WaggaWagga;New South Wales
CoffsHarbour;New South Wales
Penrith;New South Wales
NorahHead;New South Wales
MountGinini;New South Wales
Newcastle;New South Wales
Richmond;New South Wales
Walpole;Western Australia
Woomera;South Australia
PerthAirport;Western Australia
SalmonGums;Western Australia
GoldCoast;Queensland
Dartmoor;Victoria
PearceRAAF;Western Australia
Witchcliffe;Western Australia
Uluru;Northern Territory
Nuriootpa;South Australia
MountGambier;South Australia
Katherine;Northern Territory
AliceSprings;Northern Territory
NorfolkIsland;NorfolkIsland
